UID,年齡,行業別,教育程度,是否以信用支付,有無逛過我們的網頁,聯絡有回應,日,月份,全部活動跟該客戶連絡次數,距離上次有多久時日沒被聯絡,前一次行銷活動的銷售結果,過往滿意程度,買A商品
U11922,45,老闆,大學,否,是,否,13,apr,3,143,失敗,3,0
U2519,38,服務業,大學,否,是,否,20,apr,4,-1,未知,3,0
U28335,25,藍領,高中以下,否,是,否,20,apr,1,-1,未知,3,0
U9554,30,老闆,大學,否,是,否,20,apr,1,-1,未知,3,0
U34373,37,老闆,大學,否,是,否,20,apr,1,-1,未知,3,0
U36574,50,工程,研究所,否,是,否,20,apr,2,340,失敗,3,0
U22530,34,藍領,高中,否,是,否,20,apr,2,328,失敗,3,0
U16268,29,老闆,大學,否,是,是,20,apr,1,-1,未知,3,0
U37093,35,管理,研究所,否,是,是,20,apr,7,272,其他,3,0
U34315,50,未知,高中,否,是,是,20,apr,4,340,成功,3,1
U8284,54,家管,高中,否,是,否,20,apr,1,-1,未知,3,0
U23248,43,服務業,大學,否,是,是,20,apr,1,152,失敗,3,0
U15630,61,管理,研究所,否,否,否,20,apr,1,-1,未知,3,1
U4008,24,藍領,大學,否,是,否,20,apr,1,-1,未知,3,0
U2094,34,老闆,大學,否,是,否,20,apr,1,-1,未知,3,0
U30247,32,藍領,大學,否,是,否,20,apr,1,-1,未知,3,0
U39923,35,科技,研究所,否,否,否,20,apr,5,328,失敗,3,0
U22679,28,管理,研究所,否,是,否,20,apr,1,-1,未知,3,0
U33486,36,藍領,大學,否,是,否,20,apr,5,322,其他,3,0
U1860,44,藍領,大學,否,否,否,20,apr,1,-1,未知,3,1
U9968,33,科技,大學,否,是,否,20,apr,1,-1,未知,3,0
U30721,33,科技,大學,否,是,否,20,apr,2,-1,未知,3,0
U33495,32,藍領,高中,否,是,否,20,apr,1,-1,未知,3,0
U9068,37,管理,研究所,否,否,否,20,apr,1,-1,未知,4,0
U39636,30,管理,研究所,否,是,否,20,apr,1,-1,未知,3,0
U35904,34,藍領,大學,否,是,否,20,apr,3,346,失敗,3,0
U44971,33,藍領,大學,否,是,否,20,apr,1,270,失敗,3,0
U9550,36,藍領,大學,否,是,否,20,apr,1,-1,未知,3,0
U32652,28,科技,大學,否,是,否,20,apr,3,-1,未知,3,0
U41312,56,老闆,大學,否,否,否,20,apr,1,-1,未知,3,0
U685,34,管理,研究所,否,是,是,20,apr,6,-1,未知,3,0
U33867,35,科技,研究所,否,是,否,20,apr,1,-1,未知,3,0
U31233,31,藍領,大學,否,是,否,20,apr,1,182,成功,3,0
U9183,51,工程,研究所,否,是,是,20,apr,5,-1,未知,3,0
U18507,43,失業,大學,否,是,否,20,apr,6,-1,未知,3,0
U17060,33,家管,高中,否,是,否,20,apr,5,-1,未知,3,0
U27129,35,藍領,大學,否,是,是,20,apr,2,-1,未知,3,0
U15816,41,藍領,高中,否,是,否,20,apr,4,-1,未知,3,0
U35752,51,藍領,高中,否,是,是,20,apr,2,329,失敗,3,0
U17,48,藍領,高中,否,是,否,20,apr,1,-1,未知,3,0
U20693,57,退休,高中,否,是,是,20,apr,1,-1,未知,3,0
U9222,29,藍領,大學,否,是,否,20,apr,2,-1,未知,3,0
U21112,23,科技,大學,否,是,否,20,apr,1,-1,未知,3,0
U9261,28,SOHO,研究所,否,是,否,20,apr,5,-1,未知,3,0
U38973,24,科技,大學,否,是,是,20,apr,1,-1,未知,3,0
U20825,45,管理,研究所,否,是,否,20,apr,1,-1,未知,3,0
U2245,48,服務業,高中,否,是,否,20,apr,2,259,失敗,3,0
U34582,61,退休,大學,否,否,否,20,apr,1,-1,未知,3,1
U42337,35,老闆,研究所,否,是,否,20,apr,2,335,其他,3,0
U24707,36,管理,研究所,否,是,否,20,apr,1,-1,未知,3,0
U26701,33,藍領,大學,否,否,否,20,apr,1,334,失敗,4,0
U9265,31,藍領,大學,否,是,否,20,apr,5,-1,未知,3,0
U15011,47,服務業,研究所,否,否,否,20,apr,1,-1,未知,3,0
U14207,50,老闆,大學,否,是,否,20,apr,4,-1,未知,3,0
U40889,42,老闆,大學,否,是,否,20,apr,1,154,失敗,3,0
U2212,41,老闆,大學,否,否,否,20,apr,2,150,失敗,3,0
U15286,34,管理,高中以下,否,是,否,20,apr,3,-1,未知,3,0
U42606,33,科技,大學,否,是,否,20,apr,1,-1,未知,3,0
U15078,28,SOHO,研究所,否,是,是,20,apr,1,-1,未知,3,0
U43455,38,藍領,大學,否,是,否,20,apr,5,328,其他,3,0
U5071,35,藍領,大學,否,是,否,20,apr,3,-1,未知,3,0
U38397,34,科技,大學,否,是,否,20,apr,3,332,其他,3,0
U15492,66,退休,高中,否,否,否,20,apr,5,-1,未知,3,0
U14231,25,藍領,高中,否,是,否,20,apr,2,322,失敗,3,0
