UID,年齡,行業別,教育程度,是否以信用支付,有無逛過我們的網頁,聯絡有回應,與顧客聯絡方式,日,月份,全部活動跟該客戶連絡次數,距離上次有多久時日沒被聯絡,前一次行銷活動的銷售結果,買A商品,過往滿意程度
U11922,45,老闆,大學,否,是,否,未知,13,apr,3,143,失敗,0,3
U2519,38,服務業,大學,否,是,否,未知,20,apr,4,-1,未知,0,3
U28335,25,藍領,高中以下,否,是,否,未知,20,apr,1,-1,未知,0,3
U9554,30,老闆,大學,否,是,否,未知,20,apr,1,-1,未知,0,3
U34373,37,老闆,大學,否,是,否,未知,20,apr,1,-1,未知,0,3
U36574,50,工程,研究所,否,是,否,未知,20,apr,2,340,失敗,0,3
U22530,34,藍領,高中,否,是,否,未知,20,apr,2,328,失敗,0,3
U16268,29,老闆,大學,否,是,是,未知,20,apr,1,-1,未知,0,3
U37093,35,管理,研究所,否,是,是,未知,20,apr,7,272,其他,0,3
U34315,50,未知,高中,否,是,是,未知,20,apr,4,340,成功,1,3
U8284,54,家管,高中,否,是,否,未知,20,apr,1,-1,未知,0,3
U23248,43,服務業,大學,否,是,是,未知,20,apr,1,152,失敗,0,3
U15630,61,管理,研究所,否,否,否,未知,20,apr,1,-1,未知,1,3
U4008,24,藍領,大學,否,是,否,未知,20,apr,1,-1,未知,0,3
U2094,34,老闆,大學,否,是,否,未知,20,apr,1,-1,未知,0,3
U30247,32,藍領,大學,否,是,否,未知,20,apr,1,-1,未知,0,3
U39923,35,科技,研究所,否,否,否,未知,20,apr,5,328,失敗,0,3
U22679,28,管理,研究所,否,是,否,未知,20,apr,1,-1,未知,0,3
U33486,36,藍領,大學,否,是,否,未知,20,apr,5,322,其他,0,3
U1860,44,藍領,大學,否,否,否,未知,20,apr,1,-1,未知,1,3
U9968,33,科技,大學,否,是,否,未知,20,apr,1,-1,未知,0,3
U30721,33,科技,大學,否,是,否,未知,20,apr,2,-1,未知,0,3
U33495,32,藍領,高中,否,是,否,未知,20,apr,1,-1,未知,0,3
U9068,37,管理,研究所,否,否,否,未知,20,apr,1,-1,未知,0,4
U39636,30,管理,研究所,否,是,否,未知,20,apr,1,-1,未知,0,3
U35904,34,藍領,大學,否,是,否,未知,20,apr,3,346,失敗,0,3
U44971,33,藍領,大學,否,是,否,未知,20,apr,1,270,失敗,0,3
U9550,36,藍領,大學,否,是,否,未知,20,apr,1,-1,未知,0,3
U32652,28,科技,大學,否,是,否,未知,20,apr,3,-1,未知,0,3
U41312,56,老闆,大學,否,否,否,未知,20,apr,1,-1,未知,0,3
U685,34,管理,研究所,否,是,是,未知,20,apr,6,-1,未知,0,3
U33867,35,科技,研究所,否,是,否,未知,20,apr,1,-1,未知,0,3
U31233,31,藍領,大學,否,是,否,未知,20,apr,1,182,成功,0,3
U9183,51,工程,研究所,否,是,是,未知,20,apr,5,-1,未知,0,3
