Prod_output_num,locations,gender,age,click_on_prod,balance,registry_to_use_time,credit_card_paid,active_member,estimated_salary,buy
619,Taipei,Female,42,2,0,1,1,0,101348.88,1
608,Tainan,Female,41,1,83807.86,1,0,0,112542.58,0
502,Taipei,Female,42,8,159660.8,3,1,1,113931.57,1
699,Taipei,Female,39,1,0,2,0,1,93826.63,0
850,Tainan,Female,43,2,125510.82,1,1,0,79084.1,0
645,Tainan,Male,44,8,113755.78,2,1,1,149756.71,1
822,Taipei,Male,50,7,0,2,1,0,10062.8,0
376,Taichung,Female,29,4,115046.74,4,1,1,119346.88,1
501,Taipei,Male,44,4,142051.07,2,0,0,74940.5,0
684,Taipei,Male,27,2,134603.88,1,1,0,71725.73,0
528,Taipei,Male,31,6,102016.72,2,0,1,80181.12,0
497,Tainan,Male,24,3,0,2,1,1,76390.01,0
476,Taipei,Female,34,10,0,2,1,1,26260.98,0
549,Taipei,Female,25,5,0,2,0,1,190857.79,0
635,Tainan,Female,35,7,0,2,1,0,65951.65,0
616,Taichung,Male,45,3,143129.41,2,0,0,64327.26,0
653,Taichung,Male,58,1,132602.88,1,1,1,5097.67,1
549,Tainan,Female,24,9,0,2,1,0,14406.41,0
587,Tainan,Male,45,6,0,1,0,1,158684.81,0
726,Taipei,Female,24,6,0,2,1,0,54724.03,0
732,Taipei,Male,41,8,0,2,1,0,170886.17,0
636,Tainan,Female,32,8,0,2,1,1,138555.46,0
510,Tainan,Female,38,4,0,1,1,1,118913.53,1
669,Taipei,Male,46,3,0,2,0,0,8487.75,0
846,Taipei,Female,38,5,0,1,1,0,187616.16,0
577,Taipei,Male,25,3,0,2,0,0,124508.29,0
756,Taichung,Male,36,2,136815.64,1,1,0,170041.95,0
571,Taipei,Male,44,9,0,2,0,1,38433.35,0
574,Taichung,Female,43,3,141349.43,1,1,0,100187.43,0
411,Taipei,Male,29,0,59697.17,2,1,0,53483.21,0
591,Tainan,Female,39,3,0,3,1,1,140469.38,1
533,Taipei,Male,36,7,85311.7,1,0,0,156731.91,0
553,Taichung,Male,41,9,110112.54,2,0,1,81898.81,0
520,Tainan,Female,42,6,0,2,1,0,34410.55,0
722,Tainan,Female,29,9,0,2,1,0,142033.07,0
475,Taipei,Female,45,0,134264.04,1,1,1,27822.99,1
490,Tainan,Male,31,3,145260.23,1,0,0,114066.77,0
804,Tainan,Male,33,7,76548.6,1,0,0,98453.45,0
850,Taipei,Male,36,7,0,1,1,0,40812.9,0
582,Taichung,Male,41,6,70349.48,2,0,0,178074.04,0
472,Tainan,Male,40,4,0,1,1,1,70154.22,0
465,Taipei,Female,51,8,122522.32,1,0,1,181297.65,1
556,Taipei,Female,61,2,117419.35,1,1,0,94153.83,0
834,Taipei,Female,49,2,131394.56,1,0,1,194365.76,1
660,Tainan,Female,61,5,155931.11,1,1,0,158338.39,0
776,Taichung,Female,32,4,109421.13,2,1,0,126517.46,0
829,Taichung,Female,27,9,112045.67,1,1,0,119708.21,1
637,Taichung,Female,39,9,137843.8,1,1,0,117622.8,1
550,Taichung,Male,38,2,103391.38,1,0,0,90878.13,0
776,Taichung,Female,37,2,103769.22,2,1,1,194099.12,0
698,Taichung,Male,44,10,116363.37,2,1,1,198059.16,0
585,Taichung,Male,36,5,146050.97,2,0,1,86424.57,0
788,Taipei,Female,33,5,0,2,0,1,116978.19,0
655,Taichung,Male,41,8,125561.97,1,0,1,164040.94,1
601,Taichung,Male,42,1,98495.72,1,1,1,40014.76,1
619,Taipei,Male,43,1,125211.92,1,1,0,113410.49,0
656,Taipei,Male,45,5,127864.4,1,1,1,87107.57,0
725,Taichung,Male,19,0,75888.2,1,0,1,45613.75,0
511,Tainan,Female,66,4,0,1,1,1,1643.11,1
614,Taipei,Male,51,4,40685.92,1,1,0,46775.28,0
742,Taichung,Male,35,5,136857,1,0,1,84509.57,0
687,Taichung,Female,27,9,152328.88,2,0,1,126494.82,0
555,Tainan,Male,33,1,56084.69,2,0,1,178798.13,0
684,Tainan,Male,56,8,78707.16,1,1,0,99398.36,0
603,Taichung,Male,26,4,109166.37,1,1,0,92840.67,0
751,Taichung,Female,36,6,169831.46,2,1,0,27758.36,0
581,Taichung,Female,34,1,101633.04,1,1,1,110431.51,0
735,Taichung,Male,43,10,123180.01,2,1,0,196673.28,0
661,Taichung,Female,35,5,150725.53,2,0,0,113656.85,0
675,Taipei,Female,21,8,98373.26,1,1,1,18203,0
738,Taichung,Male,58,2,133745.44,4,1,1,28373.86,1
813,Taipei,Male,29,6,0,1,1,1,33953.87,0
657,Tainan,Female,37,0,163607.18,1,0,0,44203.55,0
604,Taichung,Female,25,5,157780.84,2,1,0,58426.81,0
519,Taipei,Male,36,9,0,2,0,0,145562.4,0
735,Taipei,Female,21,1,178718.19,2,1,1,22388,0
664,Taipei,Male,55,8,0,2,1,0,139161.64,0
678,Taipei,Female,32,9,0,1,1,0,148210.64,0
757,Tainan,Male,33,5,77253.22,1,0,0,194239.63,0
416,Taichung,Female,41,10,122189.66,2,1,1,98301.61,0
665,Taipei,Female,34,1,96645.54,2,0,1,171413.66,0
777,Taipei,Female,32,2,0,1,1,1,136458.19,1
543,Taipei,Female,36,3,0,2,0,1,26019.59,0
506,Taipei,Female,34,4,90307.62,1,1,0,159235.29,0
493,Taipei,Female,46,4,0,2,1,1,1907.66,0
652,Tainan,Female,75,10,0,2,1,0,114675.75,0
750,Tainan,Male,22,3,121681.82,1,1,1,128643.35,1
729,Taipei,Male,30,9,0,2,1,1,151869.35,0
646,Taipei,Female,46,4,0,3,1,1,93251.42,1
635,Taichung,Female,28,3,81623.67,2,1,0,156791.36,0
647,Tainan,Female,44,5,0,3,1,0,174205.22,1
