Prod_output_num,locations,gender,age,click_on_prod,balance,registry_to_use_time,credit_card_paid,active_member,estimated_salary,buy,UID
619,Taipei,Female,42,2,0,4,1,0,101348.88,1,0
608,Tainan,Female,41,1,83807.86,4,0,0,112542.58,0,1
502,Taipei,Female,42,8,159660.8,2,1,1,113931.57,1,2
699,Taipei,Female,39,1,0,3,0,1,93826.63,0,3
850,Tainan,Female,43,2,125510.82,4,1,0,79084.1,0,4
645,Tainan,Male,44,8,113755.78,3,1,1,149756.71,1,5
822,Taipei,Male,50,7,0,3,1,0,10062.8,0,6
376,Taichung,Female,29,4,115046.74,1,1,1,119346.88,1,7
501,Taipei,Male,44,4,142051.07,3,0,0,74940.5,0,8
684,Taipei,Male,27,2,134603.88,4,1,0,71725.73,0,9
528,Taipei,Male,31,6,102016.72,3,0,1,80181.12,0,10
497,Tainan,Male,24,3,0,3,1,1,76390.01,0,11
476,Taipei,Female,34,10,0,3,1,1,26260.98,0,12
549,Taipei,Female,25,5,0,3,0,1,190857.79,0,13
635,Tainan,Female,35,7,0,3,1,0,65951.65,0,14
616,Taichung,Male,45,3,143129.41,3,0,0,64327.26,0,15
653,Taichung,Male,58,1,132602.88,4,1,1,5097.67,1,16
549,Tainan,Female,24,9,0,3,1,0,14406.41,0,17
587,Tainan,Male,45,6,0,4,0,1,158684.81,0,18
726,Taipei,Female,24,6,0,3,1,0,54724.03,0,19
732,Taipei,Male,41,8,0,3,1,0,170886.17,0,20
636,Tainan,Female,32,8,0,3,1,1,138555.46,0,21
510,Tainan,Female,38,4,0,4,1,1,118913.53,1,22
669,Taipei,Male,46,3,0,3,0,0,8487.75,0,23
846,Taipei,Female,38,5,0,4,1,0,187616.16,0,24
577,Taipei,Male,25,3,0,3,0,0,124508.29,0,25
756,Taichung,Male,36,2,136815.64,4,1,0,170041.95,0,26
571,Taipei,Male,44,9,0,3,0,1,38433.35,0,27
574,Taichung,Female,43,3,141349.43,4,1,0,100187.43,0,28
411,Taipei,Male,29,0,59697.17,3,1,0,53483.21,0,29
591,Tainan,Female,39,3,0,2,1,1,140469.38,1,30
533,Taipei,Male,36,7,85311.7,4,0,0,156731.91,0,31
553,Taichung,Male,41,9,110112.54,3,0,1,81898.81,0,32
520,Tainan,Female,42,6,0,3,1,0,34410.55,0,33
722,Tainan,Female,29,9,0,3,1,0,142033.07,0,34
475,Taipei,Female,45,0,134264.04,4,1,1,27822.99,1,35
490,Tainan,Male,31,3,145260.23,4,0,0,114066.77,0,36
804,Tainan,Male,33,7,76548.6,4,0,0,98453.45,0,37
850,Taipei,Male,36,7,0,4,1,0,40812.9,0,38
